[DEBUG] 21:22:46:913 CLIENT/(14719:14719): Me conecto al ip: 127.0.0.1, puerto: 6009
[DEBUG] 21:23:54:630 CLIENT/(14747:14747): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 21:29:03:151 CLIENT/(14827:14827): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 00:56:59:646 CLIENT/(16871:16871): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 00:58:24:093 CLIENT/(16894:16894): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 01:01:44:393 CLIENT/(16912:16912): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 01:02:44:401 CLIENT/(16941:16941): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 17:23:24:921 CLIENT/(22500:22500): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 17:24:24:506 CLIENT/(22575:22575): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 18:51:39:625 CLIENT/(23885:23885): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 18:52:38:146 CLIENT/(23905:23905): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 03:08:58:639 CLIENT/(29047:29047): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 03:19:23:597 CLIENT/(29166:29166): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 03:35:10:617 CLIENT/(29997:29997): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 03:37:03:436 CLIENT/(30039:30039): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 03:38:56:001 CLIENT/(30067:30067): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 03:40:08:144 CLIENT/(30103:30103): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 03:41:15:109 CLIENT/(30128:30128): Fallo al conectarme al ip: 127.0.0.1, puerto: 6009
[DEBUG] 03:43:43:642 CLIENT/(30176:30176): Fallo al conectarme al ip: 127.0.0.1, puerto: 6009
[DEBUG] 03:43:56:417 CLIENT/(30180:30180): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 13:25:49:313 CLIENT/(32351:32351): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 13:27:21:837 CLIENT/(32381:32381): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 13:28:39:078 CLIENT/(32401:32401): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 13:36:46:223 CLIENT/(32527:32527): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 13:38:27:234 CLIENT/(32556:32556): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 13:42:55:987 CLIENT/(32598:32598): Fallo al conectarme al ip: 127.0.0.1, puerto: 6009
[DEBUG] 13:43:02:594 CLIENT/(32601:32601): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 13:44:36:878 CLIENT/(32627:32627): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 13:49:04:488 CLIENT/(328:328): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 13:50:39:257 CLIENT/(411:411): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 13:54:20:082 CLIENT/(475:475): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 13:58:37:703 CLIENT/(512:512): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 13:58:50:395 CLIENT/(516:516): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 14:39:11:491 CLIENT/(1465:1465): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 14:39:12:056 CLIENT/(1469:1469): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 14:40:37:355 CLIENT/(1482:1482): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 14:40:48:418 CLIENT/(1508:1508): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 14:41:20:723 CLIENT/(1516:1516): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 14:41:32:157 CLIENT/(1531:1531): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 14:42:36:134 CLIENT/(1555:1555): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 14:44:30:247 CLIENT/(1624:1624): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 14:50:56:749 CLIENT/(1909:1909): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 14:51:41:252 CLIENT/(1917:1917): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 14:58:52:302 CLIENT/(1979:1979): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
[DEBUG] 15:01:48:123 CLIENT/(2009:2009): Me conecto al ip: 127.0.0.1, puerto: 6009 con exito!
